Area,Bedrooms,Bathrooms,Stories,Parking,Age,City,Furnishing,Main Road,Guest Room,Basement,Water Supply,Air Conditioning,Preferred Tenant,Locality Rating,Price,Month,Quarter,Month_sin,Month_cos,Year
3785,3,1,3,2,26,Hyderabad,Unfurnished,Yes,No,No,Both,No,Bachelor,8,1105969,11,4,-0.5000000000000003,0.8660254037844383,2016
4517,5,1,2,1,26,Hyderabad,Semi-Furnished,No,Yes,Yes,Borewell,No,Family,7,1386508,12,4,-2.4492935982947064e-16,1.0,2017
5243,5,2,3,2,10,Chennai,Semi-Furnished,Yes,Yes,Yes,Borewell,Yes,Bachelor,4,2048184,1,1,0.4999999999999999,0.8660254037844386,2018
3304,1,3,3,2,48,Delhi,Semi-Furnished,No,Yes,No,Both,No,Company,3,1125735,2,1,0.8660254037844385,0.5000000000000001,2019
874,2,3,2,1,4,Mumbai,Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,6,1258106,3,1,1.0,6.123233995736766e-17,2020
1482,4,3,3,0,6,Kolkata,Furnished,No,Yes,No,Both,Yes,Bachelor,1,1577103,4,2,0.8660254037844387,-0.4999999999999997,2021
2958,2,2,3,1,18,Chennai,Semi-Furnished,No,No,Yes,Borewell,Yes,Family,2,1126058,5,2,0.4999999999999999,-0.8660254037844386,2022
2447,2,3,1,0,28,Chennai,Furnished,No,No,No,Corporation,No,Bachelor,7,1097948,6,2,1.2246467991473532e-16,-1.0,2023
3147,1,3,3,0,14,Bangalore,Furnished,Yes,Yes,Yes,Both,Yes,Company,3,1360399,7,3,-0.4999999999999997,-0.8660254037844387,2024
1375,1,2,3,2,34,Mumbai,Semi-Furnished,No,No,No,Borewell,Yes,Company,1,718529,8,3,-0.8660254037844383,-0.5000000000000003,2025
2206,1,1,3,1,46,Pune,Unfurnished,No,No,Yes,Borewell,No,Company,2,884307,9,3,-1.0,-1.8369701987210297e-16,2010
589,1,1,3,2,36,Chennai,Furnished,Yes,Yes,No,Borewell,Yes,Company,10,918294,10,4,-0.8660254037844385,0.5,2011
3134,5,2,2,2,11,Bangalore,Furnished,Yes,Yes,Yes,Both,Yes,Family,10,1989144,11,4,-0.5000000000000003,0.8660254037844383,2012
3405,1,3,1,0,29,Kolkata,Furnished,No,Yes,No,Corporation,No,Bachelor,9,793239,12,4,-2.4492935982947064e-16,1.0,2013
5058,5,2,3,2,19,Kolkata,Furnished,Yes,No,Yes,Borewell,Yes,Family,7,2005165,1,1,0.4999999999999999,0.8660254037844386,2014
2299,5,1,3,1,36,Pune,Unfurnished,Yes,Yes,Yes,Both,No,Company,7,1653227,2,1,0.8660254037844385,0.5000000000000001,2015
1667,1,1,2,2,2,Mumbai,Semi-Furnished,Yes,No,No,Borewell,Yes,Bachelor,10,1005073,3,1,1.0,6.123233995736766e-17,2016
1928,3,2,3,2,8,Hyderabad,Furnished,No,No,Yes,Corporation,Yes,Family,8,1435226,4,2,0.8660254037844387,-0.4999999999999997,2017
3602,4,2,2,0,40,Bangalore,Semi-Furnished,Yes,No,Yes,Corporation,No,Bachelor,8,1397685,5,2,0.4999999999999999,-0.8660254037844386,2018
3956,2,1,1,1,38,Hyderabad,Furnished,No,No,Yes,Corporation,Yes,Company,9,1080950,6,2,1.2246467991473532e-16,-1.0,2019
4290,5,2,1,2,25,Kolkata,Unfurnished,Yes,Yes,Yes,Both,Yes,Company,2,1782641,7,3,-0.4999999999999997,-0.8660254037844387,2020
1046,4,1,3,0,1,Kolkata,Semi-Furnished,Yes,No,No,Borewell,Yes,Bachelor,8,1290088,8,3,-0.8660254037844383,-0.5000000000000003,2021
3288,3,2,3,2,22,Delhi,Unfurnished,No,Yes,Yes,Both,Yes,Bachelor,8,1396254,9,3,-1.0,-1.8369701987210297e-16,2022
5793,2,2,3,1,22,Delhi,Furnished,Yes,No,Yes,Borewell,Yes,Company,5,1403537,10,4,-0.8660254037844385,0.5,2023
2835,2,2,2,2,20,Pune,Unfurnished,Yes,Yes,No,Both,Yes,Family,5,1030157,11,4,-0.5000000000000003,0.8660254037844383,2024
1000,5,1,3,2,15,Delhi,Unfurnished,Yes,Yes,Yes,Borewell,No,Company,4,1243336,12,4,-2.4492935982947064e-16,1.0,2025
2763,1,2,3,0,8,Delhi,Furnished,Yes,Yes,No,Both,Yes,Bachelor,5,1101178,1,1,0.4999999999999999,0.8660254037844386,2010
2461,3,1,1,2,12,Pune,Furnished,No,No,Yes,Borewell,Yes,Family,2,1056514,2,1,0.8660254037844385,0.5000000000000001,2011
641,5,1,3,0,27,Chennai,Semi-Furnished,No,No,No,Both,No,Company,2,949233,3,1,1.0,6.123233995736766e-17,2012
2441,3,2,1,1,26,Delhi,Furnished,No,No,Yes,Corporation,No,Bachelor,5,1402286,4,2,0.8660254037844387,-0.4999999999999997,2013
3224,1,2,3,2,16,Chennai,Semi-Furnished,No,Yes,No,Both,No,Bachelor,3,894925,5,2,0.4999999999999999,-0.8660254037844386,2014
3012,1,1,1,1,37,Chennai,Unfurnished,No,No,No,Corporation,Yes,Bachelor,1,627214,6,2,1.2246467991473532e-16,-1.0,2015
1763,5,1,3,1,35,Mumbai,Unfurnished,No,No,No,Corporation,No,Family,9,1322158,7,3,-0.4999999999999997,-0.8660254037844387,2016
5886,1,3,1,2,0,Chennai,Semi-Furnished,No,No,Yes,Borewell,No,Family,2,1217676,8,3,-0.8660254037844383,-0.5000000000000003,2017
1878,4,1,2,0,17,Chennai,Furnished,Yes,Yes,No,Corporation,Yes,Family,10,1368388,9,3,-1.0,-1.8369701987210297e-16,2018
2956,2,3,1,1,8,Delhi,Furnished,No,No,Yes,Corporation,No,Family,2,1019254,10,4,-0.8660254037844385,0.5,2019
1175,5,3,1,1,12,Chennai,Unfurnished,No,No,No,Borewell,Yes,Bachelor,4,1320232,11,4,-0.5000000000000003,0.8660254037844383,2020
4414,3,3,1,2,39,Hyderabad,Semi-Furnished,No,Yes,No,Both,Yes,Bachelor,2,1376318,12,4,-2.4492935982947064e-16,1.0,2021
434,4,2,3,2,44,Pune,Unfurnished,Yes,Yes,No,Both,Yes,Family,7,1311196,1,1,0.4999999999999999,0.8660254037844386,2022
3552,5,2,3,2,14,Delhi,Unfurnished,No,Yes,Yes,Corporation,Yes,Family,10,1517838,2,1,0.8660254037844385,0.5000000000000001,2023
2355,1,1,3,2,42,Pune,Furnished,No,Yes,Yes,Both,Yes,Bachelor,1,968111,3,1,1.0,6.123233995736766e-17,2024
1985,1,3,2,2,43,Bangalore,Semi-Furnished,No,Yes,No,Corporation,No,Company,2,752617,4,2,0.8660254037844387,-0.4999999999999997,2025
4343,1,2,2,2,45,Delhi,Unfurnished,Yes,Yes,No,Both,Yes,Company,5,1003006,5,2,0.4999999999999999,-0.8660254037844386,2010
3473,1,2,1,0,3,Chennai,Furnished,No,No,No,Both,No,Bachelor,2,778863,6,2,1.2246467991473532e-16,-1.0,2011
1421,3,2,2,1,32,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Family,9,1191070,7,3,-0.4999999999999997,-0.8660254037844387,2012
3861,4,2,1,0,23,Pune,Unfurnished,Yes,Yes,No,Corporation,No,Family,4,1394227,8,3,-0.8660254037844383,-0.5000000000000003,2013
3013,2,2,1,0,35,Delhi,Furnished,Yes,No,No,Borewell,Yes,Bachelor,9,1027669,9,3,-1.0,-1.8369701987210297e-16,2014
5625,3,3,1,2,40,Hyderabad,Furnished,Yes,Yes,No,Both,Yes,Company,1,1623693,10,4,-0.8660254037844385,0.5,2015
4243,3,3,2,1,9,Pune,Semi-Furnished,No,No,No,Both,Yes,Bachelor,1,1346974,11,4,-0.5000000000000003,0.8660254037844383,2016
1900,2,3,3,0,35,Bangalore,Unfurnished,Yes,Yes,Yes,Both,No,Bachelor,1,1175899,12,4,-2.4492935982947064e-16,1.0,2017
5198,2,3,2,2,19,Kolkata,Semi-Furnished,Yes,Yes,No,Corporation,No,Bachelor,4,1449814,1,1,0.4999999999999999,0.8660254037844386,2018
561,1,1,1,2,40,Bangalore,Furnished,No,No,Yes,Borewell,No,Family,9,622387,2,1,0.8660254037844385,0.5000000000000001,2019
4697,3,3,1,1,44,Kolkata,Furnished,Yes,No,No,Corporation,Yes,Family,8,1197363,3,1,1.0,6.123233995736766e-17,2020
2381,5,2,2,0,43,Mumbai,Unfurnished,Yes,No,Yes,Both,Yes,Family,7,1395049,4,2,0.8660254037844387,-0.4999999999999997,2021
1395,2,3,1,0,10,Kolkata,Semi-Furnished,Yes,No,Yes,Corporation,No,Company,1,769432,5,2,0.4999999999999999,-0.8660254037844386,2022
5311,2,1,1,0,11,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,3,855112,6,2,1.2246467991473532e-16,-1.0,2023
3742,4,2,2,2,17,Delhi,Unfurnished,Yes,No,Yes,Both,No,Bachelor,9,1238883,7,3,-0.4999999999999997,-0.8660254037844387,2024
4951,5,3,2,1,29,Mumbai,Unfurnished,Yes,No,Yes,Corporation,Yes,Company,9,1747706,8,3,-0.8660254037844383,-0.5000000000000003,2025
4198,5,3,2,1,43,Hyderabad,Semi-Furnished,No,No,No,Both,No,Family,5,1693536,9,3,-1.0,-1.8369701987210297e-16,2010
1675,2,3,1,0,47,Mumbai,Furnished,No,Yes,No,Both,No,Bachelor,6,888699,10,4,-0.8660254037844385,0.5,2011
1416,1,2,1,2,36,Hyderabad,Furnished,No,No,No,Borewell,Yes,Company,6,1009500,11,4,-0.5000000000000003,0.8660254037844383,2012
737,4,2,3,0,19,Pune,Unfurnished,No,No,Yes,Corporation,No,Family,10,1140380,12,4,-2.4492935982947064e-16,1.0,2013
1278,5,1,3,1,24,Pune,Semi-Furnished,Yes,Yes,No,Corporation,Yes,Family,4,1217272,1,1,0.4999999999999999,0.8660254037844386,2014
1476,2,2,2,2,11,Kolkata,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Bachelor,1,1252281,2,1,0.8660254037844385,0.5000000000000001,2015
5287,5,2,3,0,20,Kolkata,Semi-Furnished,Yes,Yes,No,Both,Yes,Family,5,1533016,3,1,1.0,6.123233995736766e-17,2016
4393,4,3,1,0,24,Kolkata,Furnished,No,Yes,No,Corporation,No,Company,1,1290823,4,2,0.8660254037844387,-0.4999999999999997,2017
5259,4,2,3,2,10,Mumbai,Furnished,No,No,Yes,Corporation,No,Family,1,1499311,5,2,0.4999999999999999,-0.8660254037844386,2018
779,3,3,1,1,8,Kolkata,Semi-Furnished,Yes,No,Yes,Corporation,No,Bachelor,5,1218701,6,2,1.2246467991473532e-16,-1.0,2019
892,2,3,2,2,49,Mumbai,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Company,5,1061297,7,3,-0.4999999999999997,-0.8660254037844387,2020
5676,4,2,2,0,24,Mumbai,Unfurnished,No,Yes,No,Borewell,Yes,Family,7,1483190,8,3,-0.8660254037844383,-0.5000000000000003,2021
2462,3,1,1,0,34,Chennai,Unfurnished,No,No,No,Borewell,No,Family,2,540750,9,3,-1.0,-1.8369701987210297e-16,2022
4284,3,1,3,0,31,Chennai,Semi-Furnished,No,No,No,Both,Yes,Family,6,1123874,10,4,-0.8660254037844385,0.5,2023
464,5,2,2,0,48,Mumbai,Semi-Furnished,No,No,Yes,Both,Yes,Company,2,610559,11,4,-0.5000000000000003,0.8660254037844383,2024
2968,5,1,2,1,13,Pune,Furnished,Yes,No,Yes,Both,No,Family,10,1832394,12,4,-2.4492935982947064e-16,1.0,2025
5863,3,3,3,1,0,Hyderabad,Semi-Furnished,No,Yes,Yes,Corporation,No,Bachelor,5,1654363,1,1,0.4999999999999999,0.8660254037844386,2010
5648,5,3,3,0,16,Delhi,Unfurnished,No,No,Yes,Both,Yes,Company,4,1529777,2,1,0.8660254037844385,0.5000000000000001,2011
2427,4,2,1,1,24,Bangalore,Furnished,Yes,Yes,No,Corporation,Yes,Company,10,1310921,3,1,1.0,6.123233995736766e-17,2012
3095,1,1,3,1,7,Chennai,Unfurnished,Yes,Yes,Yes,Borewell,No,Family,5,870852,4,2,0.8660254037844387,-0.4999999999999997,2013
1895,4,1,3,1,4,Mumbai,Unfurnished,Yes,Yes,Yes,Both,No,Company,2,1285231,5,2,0.4999999999999999,-0.8660254037844386,2014
5658,3,3,3,0,4,Bangalore,Furnished,No,No,No,Both,Yes,Bachelor,8,1329667,6,2,1.2246467991473532e-16,-1.0,2015
791,3,2,1,2,40,Chennai,Unfurnished,No,Yes,No,Corporation,Yes,Company,8,1046222,7,3,-0.4999999999999997,-0.8660254037844387,2016
4914,4,1,1,2,34,Delhi,Semi-Furnished,No,No,Yes,Corporation,Yes,Bachelor,6,1639436,8,3,-0.8660254037844383,-0.5000000000000003,2017
4874,5,2,2,2,18,Hyderabad,Unfurnished,No,Yes,Yes,Corporation,No,Family,3,1335348,9,3,-1.0,-1.8369701987210297e-16,2018
3961,5,1,1,0,22,Mumbai,Furnished,Yes,No,Yes,Borewell,Yes,Company,4,1406717,10,4,-0.8660254037844385,0.5,2019
2678,3,3,2,1,8,Delhi,Furnished,Yes,Yes,Yes,Borewell,Yes,Bachelor,1,1759176,11,4,-0.5000000000000003,0.8660254037844383,2020
3499,2,3,3,1,29,Pune,Furnished,No,Yes,Yes,Both,Yes,Family,9,1611262,12,4,-2.4492935982947064e-16,1.0,2021
600,5,2,2,0,49,Chennai,Unfurnished,No,No,Yes,Both,Yes,Bachelor,10,1261388,1,1,0.4999999999999999,0.8660254037844386,2022
5275,4,3,2,0,15,Mumbai,Semi-Furnished,No,No,No,Corporation,Yes,Company,5,1559995,2,1,0.8660254037844385,0.5000000000000001,2023
3504,5,1,3,2,32,Bangalore,Furnished,Yes,Yes,No,Borewell,Yes,Company,8,1692110,3,1,1.0,6.123233995736766e-17,2024
4998,4,3,2,2,1,Pune,Semi-Furnished,No,Yes,No,Both,No,Bachelor,3,1743324,4,2,0.8660254037844387,-0.4999999999999997,2025
2854,3,2,1,0,13,Pune,Furnished,Yes,No,No,Corporation,No,Family,4,991840,5,2,0.4999999999999999,-0.8660254037844386,2010
4045,5,2,1,2,45,Kolkata,Semi-Furnished,No,Yes,Yes,Corporation,No,Family,4,1141322,6,2,1.2246467991473532e-16,-1.0,2011
1204,4,2,1,1,0,Hyderabad,Semi-Furnished,Yes,No,Yes,Borewell,Yes,Family,8,1253544,7,3,-0.4999999999999997,-0.8660254037844387,2012
3131,3,1,1,0,25,Pune,Semi-Furnished,Yes,No,Yes,Borewell,No,Family,9,885349,8,3,-0.8660254037844383,-0.5000000000000003,2013
3173,2,1,2,0,24,Chennai,Furnished,No,Yes,Yes,Both,Yes,Bachelor,3,1012200,9,3,-1.0,-1.8369701987210297e-16,2014
1970,4,1,2,1,15,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Company,7,1146837,10,4,-0.8660254037844385,0.5,2015
5456,2,1,3,1,14,Mumbai,Unfurnished,Yes,Yes,Yes,Corporation,Yes,Bachelor,9,1555973,11,4,-0.5000000000000003,0.8660254037844383,2016
5981,2,1,2,1,25,Kolkata,Unfurnished,No,No,Yes,Corporation,Yes,Company,2,1165653,12,4,-2.4492935982947064e-16,1.0,2017
3090,1,3,2,2,46,Delhi,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Company,4,1195889,1,1,0.4999999999999999,0.8660254037844386,2018
4240,5,1,2,0,43,Hyderabad,Furnished,No,Yes,Yes,Both,No,Bachelor,3,1349458,2,1,0.8660254037844385,0.5000000000000001,2019
1428,4,1,3,2,15,Bangalore,Semi-Furnished,Yes,No,No,Borewell,No,Bachelor,8,1144351,3,1,1.0,6.123233995736766e-17,2020
902,2,3,1,1,13,Chennai,Furnished,Yes,Yes,Yes,Both,No,Family,4,747443,4,2,0.8660254037844387,-0.4999999999999997,2021
4893,1,1,2,2,28,Bangalore,Semi-Furnished,Yes,No,No,Borewell,Yes,Company,9,1188554,5,2,0.4999999999999999,-0.8660254037844386,2022
1270,3,2,3,1,23,Hyderabad,Furnished,Yes,No,Yes,Both,No,Family,1,1270896,6,2,1.2246467991473532e-16,-1.0,2023
4888,4,1,3,2,46,Kolkata,Furnished,No,No,Yes,Both,Yes,Family,1,1468029,7,3,-0.4999999999999997,-0.8660254037844387,2024
606,2,1,3,2,14,Delhi,Furnished,No,No,Yes,Borewell,No,Bachelor,4,915131,8,3,-0.8660254037844383,-0.5000000000000003,2025
5534,5,2,1,1,18,Delhi,Semi-Furnished,No,Yes,No,Both,No,Family,3,1504715,9,3,-1.0,-1.8369701987210297e-16,2010
1884,1,2,2,2,7,Bangalore,Unfurnished,Yes,No,Yes,Both,No,Family,3,840040,10,4,-0.8660254037844385,0.5,2011
1263,2,2,3,0,33,Mumbai,Semi-Furnished,Yes,No,Yes,Corporation,No,Family,10,1309141,11,4,-0.5000000000000003,0.8660254037844383,2012
3190,5,2,1,2,1,Mumbai,Semi-Furnished,No,No,Yes,Borewell,No,Bachelor,2,1534809,12,4,-2.4492935982947064e-16,1.0,2013
963,2,1,3,2,26,Kolkata,Furnished,No,Yes,No,Borewell,No,Family,10,1282706,1,1,0.4999999999999999,0.8660254037844386,2014
5516,4,2,3,0,9,Delhi,Furnished,No,Yes,No,Corporation,Yes,Family,10,1841120,2,1,0.8660254037844385,0.5000000000000001,2015
4591,4,2,3,1,34,Bangalore,Unfurnished,No,Yes,Yes,Borewell,Yes,Bachelor,2,1240934,3,1,1.0,6.123233995736766e-17,2016
2157,4,3,3,0,22,Bangalore,Unfurnished,Yes,Yes,No,Corporation,Yes,Bachelor,8,1555869,4,2,0.8660254037844387,-0.4999999999999997,2017
2078,1,2,3,2,48,Bangalore,Furnished,No,No,Yes,Borewell,Yes,Bachelor,1,1099128,5,2,0.4999999999999999,-0.8660254037844386,2018
3642,4,2,1,1,7,Hyderabad,Unfurnished,Yes,No,Yes,Borewell,Yes,Company,8,1458983,6,2,1.2246467991473532e-16,-1.0,2019
5036,5,3,2,2,27,Kolkata,Unfurnished,No,No,No,Borewell,No,Bachelor,10,1705551,7,3,-0.4999999999999997,-0.8660254037844387,2020
1459,2,3,2,2,22,Mumbai,Furnished,Yes,Yes,Yes,Borewell,Yes,Company,3,1392454,8,3,-0.8660254037844383,-0.5000000000000003,2021
5679,3,1,2,0,3,Mumbai,Semi-Furnished,No,Yes,Yes,Corporation,Yes,Bachelor,2,1671369,9,3,-1.0,-1.8369701987210297e-16,2022
2122,5,3,2,0,13,Hyderabad,Unfurnished,No,No,No,Corporation,Yes,Bachelor,9,1406392,10,4,-0.8660254037844385,0.5,2023
3714,5,1,1,1,41,Chennai,Furnished,Yes,No,No,Borewell,Yes,Bachelor,5,1541790,11,4,-0.5000000000000003,0.8660254037844383,2024
3557,4,3,1,1,28,Hyderabad,Unfurnished,Yes,No,No,Both,Yes,Company,5,1250771,12,4,-2.4492935982947064e-16,1.0,2025
3025,1,3,1,1,0,Kolkata,Unfurnished,No,Yes,No,Corporation,Yes,Family,6,1120096,1,1,0.4999999999999999,0.8660254037844386,2010
3129,2,1,3,2,3,Bangalore,Furnished,Yes,No,Yes,Borewell,Yes,Bachelor,4,1454137,2,1,0.8660254037844385,0.5000000000000001,2011
1997,1,3,3,0,31,Hyderabad,Unfurnished,No,No,Yes,Corporation,Yes,Company,7,1037983,3,1,1.0,6.123233995736766e-17,2012
3460,2,1,3,0,32,Bangalore,Unfurnished,Yes,Yes,Yes,Both,Yes,Bachelor,7,1369987,4,2,0.8660254037844387,-0.4999999999999997,2013
3093,2,3,2,0,48,Kolkata,Unfurnished,No,Yes,Yes,Both,No,Family,9,930938,5,2,0.4999999999999999,-0.8660254037844386,2014
5291,1,2,3,1,25,Pune,Semi-Furnished,No,No,Yes,Both,Yes,Company,6,1156876,6,2,1.2246467991473532e-16,-1.0,2015
5547,5,3,2,0,16,Kolkata,Semi-Furnished,No,Yes,Yes,Borewell,Yes,Bachelor,1,1670677,7,3,-0.4999999999999997,-0.8660254037844387,2016
4027,2,1,3,0,38,Delhi,Unfurnished,No,No,Yes,Borewell,No,Bachelor,9,1106741,8,3,-0.8660254037844383,-0.5000000000000003,2017
1763,1,3,2,0,22,Bangalore,Furnished,No,No,Yes,Both,No,Bachelor,10,1039694,9,3,-1.0,-1.8369701987210297e-16,2018
2381,2,1,3,1,31,Mumbai,Unfurnished,No,No,No,Corporation,Yes,Family,9,1209223,10,4,-0.8660254037844385,0.5,2019
5850,3,1,3,0,14,Hyderabad,Unfurnished,No,No,Yes,Corporation,Yes,Company,5,1160746,11,4,-0.5000000000000003,0.8660254037844383,2020
2063,5,2,1,1,12,Pune,Semi-Furnished,No,Yes,Yes,Both,Yes,Bachelor,7,1284693,12,4,-2.4492935982947064e-16,1.0,2021
1929,4,2,3,0,1,Kolkata,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,1,1310459,1,1,0.4999999999999999,0.8660254037844386,2022
2438,2,1,3,0,18,Bangalore,Semi-Furnished,Yes,Yes,Yes,Corporation,Yes,Company,4,1087702,2,1,0.8660254037844385,0.5000000000000001,2023
5992,3,3,1,0,23,Pune,Unfurnished,Yes,No,Yes,Corporation,No,Family,10,1406449,3,1,1.0,6.123233995736766e-17,2024
3702,4,1,2,1,44,Chennai,Unfurnished,No,No,No,Corporation,No,Family,4,1032009,4,2,0.8660254037844387,-0.4999999999999997,2025
2637,4,1,1,1,23,Delhi,Furnished,No,No,No,Borewell,No,Family,5,1042717,5,2,0.4999999999999999,-0.8660254037844386,2010
5904,2,3,1,0,10,Chennai,Unfurnished,No,Yes,No,Both,No,Family,6,1097999,6,2,1.2246467991473532e-16,-1.0,2011
5896,1,3,2,2,21,Kolkata,Unfurnished,Yes,Yes,Yes,Borewell,No,Family,4,1246587,7,3,-0.4999999999999997,-0.8660254037844387,2012
1706,2,3,3,1,14,Chennai,Semi-Furnished,Yes,No,Yes,Corporation,Yes,Bachelor,6,1245612,8,3,-0.8660254037844383,-0.5000000000000003,2013
4429,3,3,2,1,9,Chennai,Semi-Furnished,Yes,Yes,Yes,Both,Yes,Bachelor,10,1611770,9,3,-1.0,-1.8369701987210297e-16,2014
3075,4,1,3,0,40,Delhi,Semi-Furnished,Yes,Yes,Yes,Borewell,No,Bachelor,7,1243960,10,4,-0.8660254037844385,0.5,2015
5468,2,1,3,2,26,Delhi,Semi-Furnished,Yes,Yes,No,Both,No,Company,3,1377579,11,4,-0.5000000000000003,0.8660254037844383,2016
1682,1,2,2,0,8,Delhi,Semi-Furnished,No,Yes,No,Corporation,No,Family,9,898023,12,4,-2.4492935982947064e-16,1.0,2017
1109,2,1,1,1,27,Pune,Furnished,Yes,No,Yes,Borewell,No,Company,8,1244552,1,1,0.4999999999999999,0.8660254037844386,2018
5975,5,3,2,1,0,Delhi,Furnished,No,Yes,Yes,Both,Yes,Family,1,1852605,2,1,0.8660254037844385,0.5000000000000001,2019
5930,1,2,3,0,16,Chennai,Furnished,No,No,No,Borewell,No,Family,2,979171,3,1,1.0,6.123233995736766e-17,2020
5144,3,3,2,0,30,Mumbai,Semi-Furnished,No,Yes,No,Corporation,No,Company,2,1634241,4,2,0.8660254037844387,-0.4999999999999997,2021
4813,4,1,2,2,43,Mumbai,Semi-Furnished,Yes,No,No,Both,Yes,Bachelor,10,1586323,5,2,0.4999999999999999,-0.8660254037844386,2022
4148,2,2,3,2,9,Delhi,Semi-Furnished,Yes,No,No,Corporation,Yes,Company,9,1593898,6,2,1.2246467991473532e-16,-1.0,2023
5753,1,3,1,1,36,Pune,Furnished,No,Yes,No,Both,Yes,Bachelor,9,1409995,7,3,-0.4999999999999997,-0.8660254037844387,2024
5179,5,2,2,2,28,Hyderabad,Semi-Furnished,Yes,No,No,Corporation,Yes,Family,9,1852191,8,3,-0.8660254037844383,-0.5000000000000003,2025
1063,1,2,3,2,17,Bangalore,Furnished,Yes,No,No,Corporation,No,Bachelor,1,1018628,9,3,-1.0,-1.8369701987210297e-16,2010
2398,5,1,3,1,46,Kolkata,Semi-Furnished,No,Yes,Yes,Borewell,No,Family,7,1229567,10,4,-0.8660254037844385,0.5,2011
3845,3,3,2,1,37,Pune,Unfurnished,No,No,Yes,Corporation,No,Family,3,1190329,11,4,-0.5000000000000003,0.8660254037844383,2012
